  Date   	Time	V 3	V 3	V 3	V 3	I 1	I 1
19/01/2016   10:04:26   5,534   5,584   4,835   4,873   4447,4   4294,3
19/01/2016   10:05:38   5,732   5,385   5,127   Error     4447,5   4294,4
19/01/2016   10:06:44   5,978   5,592   5,327   5,296   4447,6   4294,5
19/01/2016   10:08:18   6,206   5,729   5,522   5,381   4447,8   4294,7
19/01/2016   10:09:51   5,902   5,424   5,319   5,212   4447,9   4294,8
19/01/2016   10:11:33   Error     5,927   5,552   5,605   4448,1   4295,0
19/01/2016   10:13:08   6,616   6,247   5,921   5,966   4448,3   4295,2
19/01/2016   10:14:41   7,246   6,903   6,482   6,504   4448,5   4295,4
19/01/2016   10:16:16   7,927   7,619   7,134   7,368   4448,7   4295,6
19/01/2016   10:17:49   8,603   8,285   7,719   7,79   4448,9   4295,8
19/01/2016   10:19:31   9,082   8,631   8,008   Error     4449,1   4296,0
19/01/2016   10:21:04   9,586   9,263   8,395   8,537   4449,4   4296,2
19/01/2016   10:22:39   9,861   9,437   8,543   8,598   4449,6   4296,5
19/01/2016   10:24:13   9,577   9,11   8,346   8,417   4449,9   4296,7
19/01/2016   10:25:46   9,408   8,942   8,186   8,194   4450,1   4297,0
19/01/2016   10:27:21   9,225   8,756   8,121   8,201   4450,4   4297,2
19/01/2016   10:28:55   9,415   8,95   8,482   8,528   4450,6   4297,4
19/01/2016   10:30:29   9,963   9,538   9,035   9,121   4450,9   4297,7
19/01/2016   10:32:18   10,826   Error     9,996   10,151   Error     4298,0
19/01/2016   10:33:53   11,81   11,235   10,921   10,829   4451,5   4298,3
19/01/2016   10:35:28   12,262   11,688   11,216   11,109   4451,8   4298,6
19/01/2016   10:37:02   12,395   11,829   11,21   11,181   4452,2   4298,9
19/01/2016   10:38:36   12,593   12,067   11,387   11,337   4452,5   4299,2
19/01/2016   10:40:18   Error     12,221   11,472   11,423   4452,9   4299,6
19/01/2016   10:41:52   12,368   11,789   10,995   11,045   4453,2   4299,9
19/01/2016   10:43:26   11,712   11,216   10,739   10,709   4453,5   4300,2
19/01/2016   10:45:00   11,648   11,169   10,675   10,706   4453,8   4300,5
19/01/2016   10:46:34   11,752   11,211   10,714   10,69   4454,1   4300,8
19/01/2016   10:48:07   11,889   11,457   10,819   10,839   4454,4   4301,1
19/01/2016   10:49:49   11,832   11,278   10,748   Error     4454,8   4301,4
19/01/2016   10:51:23   11,9   11,313   10,881   10,921   4455,1   4301,7
19/01/2016   10:52:57   12,119   11,55   11,137   11,261   4455,4   4302,0
19/01/2016   10:54:31   12,419   11,953   11,522   11,594   4455,7   4302,3
19/01/2016   10:56:05   13,201   12,761   12,429   12,596   4456,0   4302,6
19/01/2016   10:57:39   14,077   13,586   13,357   13,42   4456,4   4303,0
19/01/2016   10:59:13   14,844   14,467   14,566   14,662   4456,8   4303,3
19/01/2016   11:00:47   15,079   14,606   15,069   15,286   4457,2   4303,7
19/01/2016   11:02:21   15,31   14,877   16,024   15,611   4457,6   4304,1
19/01/2016   11:03:55   15,554   14,932   15,345   14,971   4458,0   4304,5
19/01/2016   11:05:29   14,833   14,272   14,887   14,984   4458,4   4304,9
19/01/2016   11:07:03   15,601   14,84   15,717   15,578   4458,8   4305,3
19/01/2016   11:08:37   15,201   14,931   16,523   16,293   4459,2   4305,7
19/01/2016   11:10:11   14,81   14,1   15,227   15,166   4459,6   4306,0
19/01/2016   11:11:45   14,86   14,398   15,559   15,357   4460,0   4306,4
19/01/2016   11:13:19   16,383   15,677   17,361   17,422   4460,4   4306,8
19/01/2016   11:14:52   17,221   16,398   17,424   16,824   4460,8   4307,2
19/01/2016   11:16:26   15,443   15,255   17,077   16,814   4461,2   4307,6
19/01/2016   11:18:08   14,765   14,464   Error     16,433   4461,6   4308,0
19/01/2016   11:19:42   14,968   14,377   15,411   14,896   4462,0   4308,4
19/01/2016   11:21:14   14,094   13,728   15,005   14,746   4462,4   4308,7
19/01/2016   11:22:46   13,714   13,407   14,758   14,68   4462,7   4309,1
19/01/2016   11:24:19   14,115   13,983   15,408   15,869   4463,1   4309,4
19/01/2016   11:25:51   16,05   16,945   21,71   21,726   4463,6   4309,9
19/01/2016   11:27:24   18,015   17,584   19,662   19,758   4464,1   4310,4
19/01/2016   11:28:58   19,686   18,581   22,652   24,975   4464,6   4310,9
19/01/2016   11:30:32   24,973   26,804   30,406   28,669   4465,2   4311,5
19/01/2016   11:32:06   26,579   23,521   21,958   20,977   4465,8   4312,1
19/01/2016   11:33:40   18,063   17,777   18,094   18,615   4466,3   4312,5
19/01/2016   11:35:13   15,392   14,721   16,598   17,141   4466,7   4312,9
19/01/2016   11:36:47   16,338   16,177   16,786   16,357   4467,1   4313,3
19/01/2016   11:38:21   13,83   13,129   13,905   13,338   4467,5   4313,7
19/01/2016   11:39:55   11,872   11,197   11,693   11,438   4467,8   4314,0
19/01/2016   11:41:36   11,024   10,585   10,769   10,737   Error     4314,3
19/01/2016   11:43:10   10,968   10,465   10,356   10,361   4468,4   4314,5
19/01/2016   11:44:44   10,712   10,184   10,21   10,198   4468,7   4314,8
19/01/2016   11:46:18   10,57   10,049   9,802   9,711   4469,0   4315,1
19/01/2016   11:47:52   9,676   9,228   8,902   9,0   4469,2   4315,3
19/01/2016   11:49:25   9,232   8,782   8,763   8,838   4469,4   4315,5
19/01/2016   11:50:59   9,054   8,746   8,679   8,795   4469,7   4315,8
19/01/2016   11:52:32   9,013   8,572   8,555   8,66   4469,9   4316,0
19/01/2016   11:54:06   8,973   8,637   8,436   8,493   4470,1   4316,2
19/01/2016   11:55:39   8,522   7,893   7,848   7,859   4470,4   4316,4
19/01/2016   11:57:20   8,085   7,63   7,589   7,573   Error     4316,6
19/01/2016   11:58:54   7,986   7,573   7,488   7,435   4470,8   4316,8
19/01/2016   12:00:29   7,842   7,39   7,347   7,357   4471,0   4317,0
19/01/2016   12:02:03   7,511   7,099   7,113   7,037   4471,2   4317,2
19/01/2016   12:03:37   7,338   6,903   7,004   6,972   4471,4   4317,4
19/01/2016   12:05:10   7,339   6,858   6,97   6,918   4471,6   4317,6
19/01/2016   12:06:44   7,271   6,845   6,983   6,958   4471,8   4317,7
19/01/2016   12:08:18   6,971   6,472   6,52   6,414   4472,0   4317,9
19/01/2016   12:09:51   6,779   6,308   6,382   6,337   4472,1   4318,1
19/01/2016   12:11:25   6,687   6,224   6,39   6,355   4472,3   4318,2
19/01/2016   12:12:59   6,581   6,119   6,207   6,198   4472,5   4318,4
19/01/2016   12:14:32   6,489   6,092   6,031   6,038   4472,7   4318,6
19/01/2016   12:16:06   6,483   6,092   5,994   5,965   4472,8   4318,7
19/01/2016   12:17:41   6,564   6,166   6,08   6,092   4473,0   4318,9
19/01/2016   12:19:15   6,739   6,303   6,168   6,199   4473,2   4319,0
19/01/2016   12:20:49   6,812   6,257   6,071   6,117   4473,3   4319,2
19/01/2016   12:22:29   6,559   6,116   Error     5,86   4473,5   4319,4
19/01/2016   12:24:11   Error     5,828   5,583   5,595   4473,7   4319,5
19/01/2016   12:25:45   6,195   5,781   5,507   5,536   4473,9   4319,7
19/01/2016   12:27:19   6,128   5,697   5,402   5,515   4474,0   4319,8
19/01/2016   12:28:52   6,053   5,696   5,545   5,554   4474,2   4320,0
